0   HLTriggerFirstPath, FIRED = 0
147   HLT_Mu40_TkMu11_v3, FIRED = 0
148   HLT_Mu40_eta2p1_PFJet200_PFJet50_v4, FIRED = 0
149   HLT_Mu20_v3, FIRED = 0
150   HLT_TkMu20_v4, FIRED = 0
151   HLT_Mu24_eta2p1_v4, FIRED = 0
152   HLT_TkMu24_eta2p1_v5, FIRED = 0
153   HLT_Mu27_v4, FIRED = 0
154   HLT_TkMu27_v5, FIRED = 0
155   HLT_Mu45_eta2p1_v4, FIRED = 0
156   HLT_Mu50_v4, FIRED = 0
157   HLT_TkMu50_v3, FIRED = 0
158   HLT_Mu38NoFiltersNoVtx_Photon38_CaloIdL_v5, FIRED = 0
159   HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v5, FIRED = 0
160   HLT_Mu28NoFiltersNoVtxDisplaced_Photon28_CaloIdL_v5, FIRED = 0
161   HLT_Mu33NoFiltersNoVtxDisplaced_Photon33_CaloIdL_v5, FIRED = 0
162   HLT_Mu23NoFiltersNoVtx_Photon23_CaloIdL_v5, FIRED = 0
163   HLT_DoubleMu18NoFiltersNoVtx_v3, FIRED = 0
164   HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v3, FIRED = 0
165   HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v3, FIRED = 0
166   HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v3, FIRED = 0
167   HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v3, FIRED = 0
168   HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v3, FIRED = 0
169   HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v3, FIRED = 0
170   HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v3, FIRED = 0
171   HLT_PFHT300_PFMET100_v3, FIRED = 0
172   HLT_PFHT300_PFMET110_v3, FIRED = 0
173   HLT_PFHT550_4JetPt50_v3, FIRED = 0
174   HLT_PFHT650_4JetPt50_v3, FIRED = 0
175   HLT_PFHT750_4JetPt50_v5, FIRED = 0
176   HLT_PFJet15_NoCaloMatched_v4, FIRED = 0
177   HLT_PFJet25_NoCaloMatched_v2, FIRED = 0
178   HLT_DiPFJet15_NoCaloMatched_v2, FIRED = 0
179   HLT_DiPFJet25_NoCaloMatched_v2, FIRED = 0
180   HLT_DiPFJet15_FBEta3_NoCaloMatched_v3, FIRED = 0
181   HLT_DiPFJet25_FBEta3_NoCaloMatched_v3, FIRED = 0
182   HLT_DiPFJetAve15_HFJEC_v2, FIRED = 0
183   HLT_DiPFJetAve25_HFJEC_v2, FIRED = 0
184   HLT_DiPFJetAve35_HFJEC_v2, FIRED = 0
185   HLT_AK8PFJet40_v2, FIRED = 0
186   HLT_AK8PFJet60_v1, FIRED = 0
187   HLT_AK8PFJet80_v1, FIRED = 0
188   HLT_AK8PFJet140_v1, FIRED = 0
189   HLT_AK8PFJet200_v1, FIRED = 0
190   HLT_AK8PFJet260_v1, FIRED = 0
191   HLT_AK8PFJet320_v1, FIRED = 0
192   HLT_AK8PFJet400_v1, FIRED = 0
193   HLT_AK8PFJet450_v1, FIRED = 0
194   HLT_AK8PFJet500_v1, FIRED = 0
195   HLT_PFJet40_v6, FIRED = 0
196   HLT_PFJet60_v6, FIRED = 0
197   HLT_PFJet80_v5, FIRED = 0
198   HLT_PFJet140_v5, FIRED = 0
199   HLT_PFJet200_v5, FIRED = 0
200   HLT_PFJet260_v5, FIRED = 0
201   HLT_PFJet320_v5, FIRED = 0
202   HLT_PFJet400_v5, FIRED = 0
203   HLT_PFJet450_v5, FIRED = 0
204   HLT_PFJet500_v5, FIRED = 0
205   HLT_DiPFJetAve40_v4, FIRED = 0
206   HLT_DiPFJetAve60_v4, FIRED = 0
207   HLT_DiPFJetAve80_v3, FIRED = 0
208   HLT_DiPFJetAve140_v3, FIRED = 0
209   HLT_DiPFJetAve200_v3, FIRED = 0
210   HLT_DiPFJetAve260_v3, FIRED = 0
211   HLT_DiPFJetAve320_v3, FIRED = 0
212   HLT_DiPFJetAve400_v3, FIRED = 0
213   HLT_DiPFJetAve500_v3, FIRED = 0
214   HLT_DiPFJetAve60_HFJEC_v4, FIRED = 0
215   HLT_DiPFJetAve80_HFJEC_v4, FIRED = 0
216   HLT_DiPFJetAve100_HFJEC_v4, FIRED = 0
217   HLT_DiPFJetAve160_HFJEC_v4, FIRED = 0
218   HLT_DiPFJetAve220_HFJEC_v4, FIRED = 0
219   HLT_DiPFJetAve300_HFJEC_v4, FIRED = 0
220   HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu140_v2, FIRED = 0
221   HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu80_v2, FIRED = 0
222   HLT_DiCentralPFJet55_PFMET110_v3, FIRED = 0
223   HLT_DiCentralPFJet170_v2, FIRED = 0
224   HLT_SingleCentralPFJet170_CFMax0p1_v2, FIRED = 0
225   HLT_DiCentralPFJet170_CFMax0p1_v2, FIRED = 0
226   HLT_DiCentralPFJet220_CFMax0p3_v2, FIRED = 0
227   HLT_DiCentralPFJet330_CFMax0p5_v2, FIRED = 0
228   HLT_DiCentralPFJet430_v2, FIRED = 0
229   HLT_PFHT125_v2, FIRED = 0
230   HLT_PFHT200_v3, FIRED = 0
231   HLT_PFHT250_v3, FIRED = 0
232   HLT_PFHT300_v4, FIRED = 0
233   HLT_PFHT350_v5, FIRED = 0
234   HLT_PFHT400_v4, FIRED = 0
235   HLT_PFHT475_v4, FIRED = 0
236   HLT_PFHT600_v5, FIRED = 0
237   HLT_PFHT650_v5, FIRED = 0
238   HLT_PFHT800_v4, FIRED = 0
239   HLT_PFHT900_v3, FIRED = 0
240   HLT_PFHT200_PFAlphaT0p51_v4, FIRED = 0
241   HLT_PFHT200_DiPFJetAve90_PFAlphaT0p57_v4, FIRED = 0
242   HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v4, FIRED = 0
243   HLT_PFHT250_DiPFJetAve90_PFAlphaT0p55_v4, FIRED = 0
244   HLT_PFHT250_DiPFJetAve90_PFAlphaT0p58_v4, FIRED = 0
245   HLT_PFHT300_DiPFJetAve90_PFAlphaT0p53_v4, FIRED = 0
246   HLT_PFHT300_DiPFJetAve90_PFAlphaT0p54_v4, FIRED = 0
247   HLT_PFHT350_DiPFJetAve90_PFAlphaT0p52_v4, FIRED = 0
248   HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v4, FIRED = 0
249   HLT_PFHT400_DiPFJetAve90_PFAlphaT0p51_v4, FIRED = 0
250   HLT_PFHT400_DiPFJetAve90_PFAlphaT0p52_v4, FIRED = 0
251   HLT_MET60_IsoTrk35_Loose_v2, FIRED = 0
252   HLT_MET75_IsoTrk50_v4, FIRED = 0
253   HLT_MET90_IsoTrk50_v4, FIRED = 0
254   HLT_PFMET120_BTagCSV_p067_v3, FIRED = 0
255   HLT_PFMET120_Mu5_v3, FIRED = 0
256   HLT_PFMET170_HBHECleaned_v4, FIRED = 0
257   HLT_PFMET170_NotCleaned_v3, FIRED = 0
258   HLT_PFMET170_BeamHaloCleaned_v2, FIRED = 0
259   HLT_PFMET90_PFMHT90_IDTight_v4, FIRED = 0
260   HLT_PFMET100_PFMHT100_IDTight_v4, FIRED = 0
261   HLT_PFMET110_PFMHT110_IDTight_v4, FIRED = 0
262   HLT_PFMET120_PFMHT120_IDTight_v4, FIRED = 0
263   HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v3, FIRED = 0
264   HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v4, FIRED = 0
265   HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq200_v2, FIRED = 0
266   HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v2, FIRED = 0
267   HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v2, FIRED = 0
268   HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500_v2, FIRED = 0
269   HLT_QuadPFJet_VBF_v5, FIRED = 0
270   HLT_L1_TripleJet_VBF_v5, FIRED = 0
271   HLT_QuadJet45_TripleBTagCSV_p087_v3, FIRED = 0
272   HLT_QuadJet45_DoubleBTagCSV_p087_v3, FIRED = 0
273   HLT_DoubleJet90_Double30_TripleBTagCSV_p087_v2, FIRED = 0
274   HLT_DoubleJet90_Double30_DoubleBTagCSV_p087_v2, FIRED = 0
275   HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v2, FIRED = 0
276   HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v2, FIRED = 0
277   HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v2, FIRED = 0
278   HLT_DoubleJetsC112_DoubleBTagCSV_p014_DoublePFJetsC112MaxDeta1p6_v2, FIRED = 0
279   HLT_DoubleJetsC100_SingleBTagCSV_p026_v2, FIRED = 0
280   HLT_DoubleJetsC100_SingleBTagCSV_p014_v2, FIRED = 0
281   HLT_DoubleJetsC100_SingleBTagCSV_p026_SinglePFJetC350_v2, FIRED = 0
282   HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350_v2, FIRED = 0
283   HLT_Photon135_PFMET100_v4, FIRED = 0
284   HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v6, FIRED = 0
285   HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v5, FIRED = 0
286   HLT_Photon250_NoHE_v5, FIRED = 0
287   HLT_Photon300_NoHE_v5, FIRED = 0
288   HLT_Photon26_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon16_AND_HE10_R9Id65_Eta2_Mass60_v5, FIRED = 0
