0   HLTriggerFirstPath, FIRED = 0
229   HLT_PFMET170_NoiseCleaned_v3, FIRED = 0
230   HLT_PFMET170_HBHECleaned_v2, FIRED = 0
231   HLT_PFMET170_JetIdCleaned_v2, FIRED = 0
232   HLT_PFMET170_NotCleaned_v1, FIRED = 0
233   HLT_PFMET90_PFMHT90_IDTight_v2, FIRED = 0
234   HLT_PFMET100_PFMHT100_IDTight_v2, FIRED = 0
235   HLT_PFMET110_PFMHT110_IDTight_v2, FIRED = 0
236   HLT_PFMET120_PFMHT120_IDTight_v2, FIRED = 0
237   HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_BTagCSV_p067_v1, FIRED = 0
238   HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v2, FIRED = 0
239   HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq200_v1, FIRED = 0
240   HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq460_v1, FIRED = 0
241   HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v1, FIRED = 0
242   HLT_QuadPFJet_BTagCSV_p016_VBF_Mqq500_v1, FIRED = 0
243   HLT_QuadPFJet_VBF_v4, FIRED = 0
244   HLT_L1_TripleJet_VBF_v4, FIRED = 0
245   HLT_QuadJet45_TripleBTagCSV_p087_v1, FIRED = 0
246   HLT_QuadJet45_DoubleBTagCSV_p087_v1, FIRED = 0
247   HLT_DoubleJet90_Double30_TripleBTagCSV_p087_v1, FIRED = 0
248   HLT_DoubleJet90_Double30_DoubleBTagCSV_p087_v1, FIRED = 0
249   HLT_DoubleJetsC100_DoubleBTagCSV_p026_DoublePFJetsC160_v1, FIRED = 0
250   HLT_DoubleJetsC100_DoubleBTagCSV_p014_DoublePFJetsC100MaxDeta1p6_v1, FIRED = 0
251   HLT_DoubleJetsC112_DoubleBTagCSV_p026_DoublePFJetsC172_v1, FIRED = 0
252   HLT_DoubleJetsC112_DoubleBTagCSV_p014_DoublePFJetsC112MaxDeta1p6_v1, FIRED = 0
253   HLT_DoubleJetsC100_SingleBTagCSV_p026_v1, FIRED = 0
254   HLT_DoubleJetsC100_SingleBTagCSV_p014_v1, FIRED = 0
255   HLT_DoubleJetsC100_SingleBTagCSV_p026_SinglePFJetC350_v1, FIRED = 0
256   HLT_DoubleJetsC100_SingleBTagCSV_p014_SinglePFJetC350_v1, FIRED = 0
257   HLT_Photon135_PFMET100_v1, FIRED = 0
258   HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3, FIRED = 0
259   HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v2, FIRED = 0
260   HLT_Photon250_NoHE_v2, FIRED = 0
261   HLT_Photon300_NoHE_v2, FIRED = 0
262   HLT_Photon26_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon16_AND_HE10_R9Id65_Eta2_Mass60_v2, FIRED = 0
263   HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v2, FIRED = 0
264   HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3, FIRED = 0
265   HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF_v2, FIRED = 0
266   HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3, FIRED = 0
267   HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v2, FIRED = 0
268   HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3, FIRED = 0
269   HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF_v2, FIRED = 0
270   HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3, FIRED = 0
271   HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_VBF_v2, FIRED = 0
272   HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40_v3, FIRED = 0
273   HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v2, FIRED = 0
274   HLT_Mu8_TrkIsoVVL_v3, FIRED = 0
275   HLT_Mu17_TrkIsoVVL_v2, FIRED = 0
276   HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, FIRED = 0
277   HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v3, FIRED = 0
278   HLT_Ele17_CaloIdL_TrackIdL_IsoVL_PFJet30_v1, FIRED = 0
279   HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v3, FIRED = 0
280   HLT_BTagMu_DiJet20_Mu5_v2, FIRED = 0
281   HLT_BTagMu_DiJet40_Mu5_v2, FIRED = 0
282   HLT_BTagMu_DiJet70_Mu5_v2, FIRED = 0
283   HLT_BTagMu_DiJet110_Mu5_v2, FIRED = 0
284   HLT_BTagMu_Jet300_Mu5_v2, FIRED = 0
285   HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3, FIRED = 0
286   HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v3, FIRED = 0
287   HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v3, FIRED = 0
288   HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v3, FIRED = 0
289   HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v3, FIRED = 1
290   HLT_Mu23_TrkIsoVVL_Ele8_CaloIdL_TrackIdL_IsoVL_v1, FIRED = 0
291   HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3, FIRED = 0
292   HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v3, FIRED = 0
293   HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v3, FIRED = 0
294   HLT_Mu37_Ele27_CaloIdL_GsfTrkIdVL_v1, FIRED = 0
295   HLT_Mu27_Ele37_CaloIdL_GsfTrkIdVL_v1, FIRED = 0
296   HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v3, FIRED = 0
297   HLT_Mu12_Photon25_CaloIdL_v3, FIRED = 0
298   HLT_Mu12_Photon25_CaloIdL_L1ISO_v3, FIRED = 0
299   HLT_Mu12_Photon25_CaloIdL_L1OR_v3, FIRED = 0
300   HLT_Mu17_Photon22_CaloIdL_L1ISO_v1, FIRED = 0
301   HLT_Mu17_Photon30_CaloIdL_L1ISO_v3, FIRED = 0
